gift_id	gift_type	name	description	mode	status	version	notes
methionine_biosynthesis_transsulfuration	metabolic	Homoserine and cysteine to methionine	Encodes methionine synthesis in which the sulfur is donated by L-cysteine through a cystathionine intermediate, the route used by organisms that assimilate sulfur into cysteine first.	anabolic	curated	1	Tail of KEGG M00017. Separated from the sulfhydrylation capability because the two consume different sulfur substrates, and anchors are declared per GIFT rather than per route. L-homocysteine is deliberately internal here; see database_changes.
methionine_biosynthesis_sulfhydrylation	metabolic	Homoserine and sulfide to methionine	Encodes methionine synthesis in which acylated homoserine reacts directly with inorganic sulfide, bypassing cysteine and cystathionine entirely.	anabolic	curated	1	Absent from KEGG M00017 although 3910 KEGG genomes complete methionine biosynthesis this way and no other. giftr curation, not a KEGG import.
cysteine_biosynthesis_sulfide	metabolic	Serine and sulfide to cysteine	Encodes cysteine synthesis by acetylation of L-serine followed by sulfide incorporation, the principal route of sulfur assimilation into amino acids.	anabolic	curated	1	Boundaries of KEGG M00021 retained; the sulfide requirement is declared explicitly as an input anchor so the capability can compose with assimilatory sulfate reduction.
cysteine_biosynthesis_homocysteine	metabolic	Serine and homocysteine to cysteine	Encodes reverse transsulfuration, in which sulfur held in L-homocysteine is transferred through cystathionine onto a serine backbone to give L-cysteine.	anabolic	curated	1	KEGG M00338 and the cysteine-forming tail of M00609 merged into one capability with two routes; their enzyme sets share no KEGG genome, which makes them alternatives rather than separate traits. The four SAM-cycle steps of M00609 are excluded.
xylose_degradation_isomerase	metabolic	D-xylose to D-xylulose 5-phosphate	Encodes isomerase-dependent catabolism of D-xylose to the pentose phosphate pathway, the route by which most gut and soil bacteria obtain carbon from hemicellulosic xylose.	catabolic	curated	1	No KEGG module covers this capability. The oxidative Weimberg and Dahms routes end at different central metabolites and are therefore different capabilities, not alternative routes of this one.
arabinose_degradation	metabolic	L-arabinose to D-xylulose 5-phosphate	Encodes catabolism of L-arabinose released from arabinan and arabinoxylan side chains, converging on the same pentose phosphate entry point as xylose.	catabolic	curated	1	Convergence on D-xylulose 5-phosphate is why arabinofuranosidase side-chain release composes with this GIFT rather than needing its own downstream chemistry.
fucose_degradation_isomerase	metabolic	L-fucose to dihydroxyacetone phosphate and (S)-lactaldehyde	Encodes isomerase-dependent catabolism of L-fucose, a deoxyhexose abundant in host mucin O-glycans, making it a marker of mucin foraging and cross-feeding in the gut.	catabolic	curated	1	The oxidative dehydrogenase route yields different products and is a separate capability. Anchors are declared per GIFT, so the two cannot be routes of one trait.
rhamnose_degradation	metabolic	L-rhamnose to dihydroxyacetone phosphate and (S)-lactaldehyde	Encodes catabolism of L-rhamnose, the deoxyhexose of pectic rhamnogalacturonan, through the same aldol cleavage chemistry as fucose but with distinct enzymes.	catabolic	curated	1	Shares product anchors with fucose degradation but no reactions; the two isomerase, kinase and aldolase families are non-homologous.
galactose_degradation_leloir	metabolic	beta-D-galactose to alpha-D-glucose 1-phosphate	Encodes the Leloir pathway, the dominant route for galactose released from lactose, plant galactans and host glycans.	catabolic	curated	1	Boundaries of KEGG M00632 retained. Aldose 1-epimerase is optional because mutarotation also proceeds spontaneously; UDP-glucose 4-epimerase is required because without it the pathway cannot turn over catalytically.
glcnac_degradation	metabolic	N-acetyl-D-glucosamine to beta-D-fructose 6-phosphate	Encodes catabolism of N-acetyl-D-glucosamine released from chitin, peptidoglycan and host glycans into glycolysis.	catabolic	curated	1	Ends at fructose 6-phosphate, the point at which amino sugar carbon becomes indistinguishable from glycolytic carbon.
neuac_degradation	metabolic	N-acetylneuraminate to beta-D-fructose 6-phosphate	Encodes catabolism of sialic acid released from host mucin O-glycans, a capability tightly associated with gut colonisation and with cross-feeding on sialidase-producing neighbours.	catabolic	curated	1	Shares the deacetylase and deaminase reactions with GlcNAc degradation but is not a composite of it: the shared intermediate is N-acetyl-D-glucosamine 6-phosphate, which is internal to both and is deliberately not an anchor.
galacturonate_degradation	metabolic	D-galacturonate to pyruvate and D-glyceraldehyde 3-phosphate	Encodes catabolism of the pectin backbone residue D-galacturonate through the isomerase route into central carbon metabolism.	catabolic	curated	1	Shares its final two reactions with glucuronate degradation; the uronate-specific head reactions differ and are what the two capabilities are about.
glucuronate_degradation	metabolic	D-glucuronate to pyruvate and D-glyceraldehyde 3-phosphate	Encodes catabolism of D-glucuronate, released from glucuronoxylan and host glycosaminoglycans, into central carbon metabolism.	catabolic	curated	1	Boundaries of KEGG M00061 retained.
xylose_uptake_abc	metabolic	D-xylose uptake	Encodes ATP-dependent import of D-xylose, the step that separates a genome able to consume xylose released by others from one that merely encodes the catabolic enzymes.	transport	curated	1	Curated because D-xylose has both substrate-specific transporter markers and a Rhea master for the translocation. Sugars moved mainly by promiscuous carriers are deliberately left without an uptake GIFT.
arabinose_uptake_abc	metabolic	L-arabinose uptake	Encodes ATP-dependent import of L-arabinose, distinguishing an arabinose cross-feeder from a genome carrying only the catabolic enzymes.	transport	curated	1	As for xylose. The dual-specificity XacGHI system is accepted for both pentoses because it is characterised on both.
xylan_degradation	metabolic	Xylan to D-xylose	Encodes saccharification of xylan to free D-xylose: endo-acting cleavage of the beta-1,4-xylose backbone followed by exo-acting release of the monosaccharide. A positive call means the genome can liberate usable xylose from the dominant hemicellulose of a plant-based diet.	catabolic	curated	1	Endo- and exo-acting chemistry are both required for this curated saccharification capability. Endo-1,4-beta-xylanase depolymerises the xylan backbone and generates additional chain ends and xylo-oligosaccharides, while beta-xylosidase releases D-xylose successively from non-reducing termini. Although beta-xylosidase can in principle release xylose directly from xylan termini, exo activity alone is not treated here as sufficient evidence for complete polymer saccharification. Xylo-oligosaccharide is an internal intermediate, not an anchor: it would become one only if an oligosaccharide importer could be evidenced, which would make the selfish-foraging route independently meaningful.
arabinoxylan_debranching	metabolic	Arabinoxylan to xylan and L-arabinose	Encodes removal of alpha-L-arabinofuranosyl decorations from arabinoxylan, releasing free L-arabinose and exposing the xylan backbone to the enzymes of xylan degradation.	catabolic	curated	1	Kept separate from xylan degradation because L-arabinose is itself an anchored fermentable sugar, so the same arabinose GIFTs serve arabinoxylan, arabinan and arabinogalactan without triplicate curation. One reaction, but a complete capability with its own product.
starch_degradation	metabolic	Starch to D-glucose	Encodes saccharification of starch to free D-glucose: endo-acting cleavage of the alpha-1,4-glucan backbone followed by exo-acting release of the monosaccharide.	catabolic	curated	1	Endo- and exo-acting chemistry are both required for this curated saccharification capability. Alpha-amylase depolymerises the alpha-1,4-glucan backbone and generates additional chain ends and malto-oligosaccharides, while alpha-glucosidase releases D-glucose successively from non-reducing termini. As for xylan, the exo-acting enzyme can in principle act on polymer termini directly, but exo activity alone is not treated here as sufficient evidence for complete polymer saccharification. Debranching is accessory rather than required: amylose carries no alpha-1,6 branch points, so a genome without pullulanase still degrades starch, less completely. Malto-oligosaccharide is an internal intermediate for the same reason as xylo-oligosaccharide.
collagen_cleavage	metabolic	Collagen to collagen peptides	Encodes cleavage of native triple-helical collagen, releasing collagen-derived peptides outside the cell. A positive call means the genome encodes a microbial collagenase of MEROPS family M9, the activity that degrades the intact helix; it does not mean the organism assimilates the peptides.	catabolic	curated	1	One required reaction, but a complete capability with its own product, as for arabinoxylan debranching. Substrate specificity rests on mechanism rather than on a family name: EC 3.4.24.3 is defined by digestion of native collagen in the triple-helical region, which generic endopeptidases cannot perform because the intact helix resists them. Broadly proteolytic enzymes such as pseudolysin are deliberately excluded even though they hydrolyse collagen among other host proteins, because accepting them would equate this trait with generic proteolysis. The product anchor is substrate-specific rather than a shared peptide pool; a shared oligopeptide tier and peptide uptake are deferred behind transporter evidence.
flagellar_apparatus	structural	Flagellar apparatus	Encodes the structural and assembly machinery of a bacterial flagellum: the type III export apparatus, basal body, C ring, hook, filament and stator of at least one curated flagellar architecture. A positive call means the genome encodes that machinery. It does not mean the organism is motile, that the flagellum is expressed, or that it rotates under any particular condition.		curated	1	Ion coupling is deliberately not claimed. KEGG assigns the sodium-driven PomA/PomB stator of Vibrio cholerae to K02556/K02557, the same orthologues as the proton-driven MotA/MotB stator of Escherichia coli, so KO evidence cannot separate proton- from sodium-driven motors. Separate proton_driven_flagellar_apparatus and sodium_driven_flagellar_apparatus GIFTs are therefore refused at this evidence level; see inst/doc/proposal-structural-gifts.md. Transcriptional regulators (FlhDC, FliA, FlgM) are excluded because they are regulatory, not structural.
type_iva_pilus	structural	Type IVa pilus machinery	Encodes the machinery required to assemble a type IVa pilus: prepilin processing, a major pilin, an extension ATPase, the inner membrane platform, the PilMNOP alignment subcomplex and the PilQ secretin. A positive call means the genome encodes that machinery; it does not establish twitching motility, natural competence, or adhesion to any particular surface, none of which follow from the assembly machinery alone.		curated	1	Scoped to the type IVa system because the alignment subcomplex markers (PilM/N/O/P) are specific to it; type IVb and Tad pili are different architectures and are not covered. Retraction is curated as an accessory function: a pilus can be assembled without PilT.
chemotaxis_signal_transduction	regulatory	Chemotaxis signal transduction	Encodes the core chemotaxis signal-transduction machinery: a chemoreceptor, the CheA histidine kinase with its CheW coupling protein, the CheY response regulator, and the CheR/CheB adaptation cycle. A positive call means the genome encodes that pathway. It does not mean the cell is chemotactic, that the pathway is expressed, or that the organism responds to any particular compound: which chemoeffectors are detected depends on receptor sensing domains this claim says nothing about.		curated	1	The reception function accepts either a generic methyl-accepting chemotaxis protein (K03406) or any characterised chemoreceptor. Both are needed: Escherichia coli K-12 carries no K03406 orthologue at all, its four receptors being assigned to the characterised groups, while Pseudomonas aeruginosa carries 21 K03406 genes and Vibrio cholerae 34. Signal termination is accessory and has three non-homologous implementations (CheZ, CheC, CheX). CheV is not accepted as a CheW substitute. See inst/doc/proposal-regulatory-gifts.md.
aspartate_chemoreception	regulatory	Aspartate chemoreception	Encodes the machinery to detect L-aspartate and transduce it into the chemotaxis pathway: the Tar aspartate chemoreceptor together with the shared chemotaxis kinase, response-regulator and adaptation functions. A positive call means the genome encodes an aspartate-responsive chemosensory input. It does not mean the cell swims toward aspartate, which additionally requires expression, a working flagellar motor, and a gradient.		curated	1	This GIFT exists to keep the core pathway honest. Its reception function accepts K05875 (Tar) only. The generic chemoreceptor accession K03406 is deliberately refused here: it identifies the conserved cytoplasmic signalling domain shared by every chemoreceptor and cannot single out an aspartate sensor, so accepting it would let any chemotactic genome claim aspartate sensing. The three downstream functions are the same curated rows the core circuit uses.
phosphate_starvation_response	regulatory	Phosphate starvation response	Encodes a phosphate-starvation two-component regulatory system: the PhoR sensor histidine kinase paired with a cognate phosphate-regulon response regulator. A positive call means the genome encodes the signalling machinery. It does not mean the regulon is induced, that the cell is phosphate-limited, or that any particular gene is regulated.		curated	1	Two curated circuits share the PhoR sensor and differ in the response regulator: PhoB (K07657) in enterobacteria, pseudomonads and vibrios, PhoP (K07658) in Bacillus and relatives. Across the reference genomes checked on 2026-08-18 the sensor is single-copy where present and the two regulator groups are mutually exclusive, which is what licenses orthology as evidence of a cognate pair here. K07660, the response regulator of the magnesium-sensing PhoP/PhoQ system, shares the gene name and is a different protein; it is not accepted. The PstSCAB-PhoU complex is accessory because it is independently a transport capability.
type_i_restriction_modification	defense	Type I restriction-modification	Encodes a complete type I restriction-modification system: the HsdS specificity subunit, the HsdM methyltransferase that protects the host's own target sites, and the HsdR subunit that translocates and cleaves unmethylated DNA. A positive call means the genome encodes that mechanism. It does not mean the organism resists any particular phage, which depends on the invader's anti-restriction counter-measures and on defences this GIFT does not describe.		curated	1	All three subunits are required. A genome carrying only HsdM and HsdS has a methylation capability, which is real biology and common as an orphan methyltransferase, but it defends against nothing and is correctly called incomplete here. The target sequence the system recognises is deliberately not claimed: HsdS specificity comes from variable target recognition domains that the orthology group does not resolve.
type_i_e_crispr_cas_machinery	defense	Type I-E CRISPR-Cas machinery	Encodes the protein machinery of a type I-E CRISPR-Cas system: the five-subunit Cascade surveillance complex and the Cas3 nuclease-helicase, with Cas1-Cas2 spacer acquisition accessory. A positive call means the genome encodes those proteins. It does not mean the system can interfere with anything, because interference additionally requires a CRISPR array to supply guide RNAs, and an array is a repeat-spacer locus detected by structure rather than a protein annotation.		curated	1	The claim is deliberately narrowed to the encoded machinery. giftr's evidence layer is an annotation accession, which cannot express 'a CRISPR array was detected in this genome', and no Cas protein accession is evidence that an array is present. Broadening the evidence model to genomic features was considered and deferred to a second demonstrated need; see inst/doc/proposal-defense-gifts.md.
pyruvate_to_acetyl_coa	metabolic	Pyruvate to acetyl-CoA	Encodes decarboxylation of pyruvate to acetyl-CoA, the step that connects every sugar and amino acid catabolism GIFT ending at pyruvate to acyl-CoA chemistry and to short-chain fatty acid formation.	catabolic	curated	1	No KEGG module covers this capability as a unit. Three non-homologous routes are curated because they are not interchangeable: the dehydrogenase complex is the aerobic route, the ferredoxin oxidoreductase and formate-lyase routes are oxygen-sensitive, and 10961 of 11856 KEGG organisms complete at least one. The dehydrogenase reaction carries two alternative systems because the fused E1 of Escherichia coli (K00163) and the alpha/beta E1 of Bacillus (K00161 with K00162) are different architectures; requiring either alone would call roughly 4800 genomes negative for chemistry they have.
acetate_interconversion	metabolic	Acetyl-CoA and acetate interconversion	Encodes the two-step interconversion of acetyl-CoA and acetate through acetyl phosphate, the substrate-level phosphorylation that yields ATP when it runs towards acetate. A positive call means the genome encodes that chemistry. It does not mean the cell excretes acetate, and it cannot mean that: the same two enzymes run the reaction towards acetyl-CoA in genomes assimilating acetate, and no marker distinguishes the directions.	interconversion	curated	1	Declared interconversion rather than catabolic because the node is near-equilibrium and physiologically bidirectional, and because a catabolic declaration would place any future acetate-activation GIFT in a within-mode cycle with this one. Boundaries of KEGG M00579 retained. 6582 of 11856 KEGG organisms complete it, so a positive call carries little discriminating power on its own; it is curated because it is the boundary the butyrate transferase route consumes.
butyrate_formation	metabolic	Acetyl-CoA and acetate to butanoate	Encodes condensation and reduction of acetyl-CoA to butanoyl-CoA followed by CoA transfer onto acetate, releasing butanoate. A positive call means the genome encodes that route. It does not mean butyrate is produced, excreted, or ecologically consequential, and it says nothing about the amount.	catabolic	curated	1	Absent from KEGG, and not curatable from KEGG orthology: the four core enzymes are chain-length-generic and the transferase shares K01034 and K01035 with the acetoacetate degradation transferase of Escherichia coli, so a KO-evidenced route calls Faecalibacterium prausnitzii, Roseburia intestinalis and Agathobacter rectalis negative and Bacillus subtilis positive. The terminal step is therefore evidenced by NCBIfam TIGR03948, corroborated by InterPro IPR023990 and HAMAP MF_03227. The butyrate kinase route is deliberately refused because Ptb and Buk are shared with Bacillus branched-chain acyl-CoA metabolism at KO and at TIGRFAM level alike. See inst/doc/proposal-scfa-biosynthesis.md.
propanediol_formation	metabolic	(S)-lactaldehyde to (S)-propane-1,2-diol	Encodes reduction of the (S)-lactaldehyde released by deoxyhexose aldol cleavage to (S)-propane-1,2-diol, the step that converts fucose and rhamnose carbon into a diol that fermentation can carry to propionate.	catabolic	curated	1	One reaction, but a complete capability with its own product, as for arabinoxylan debranching. Curated separately from the propionate route because propane-1,2-diol is itself a documented boundary metabolite: genomes carrying the propanediol utilisation operon frequently acquire the diol rather than making it, and 87 of the 232 such genomes carry no lactaldehyde reductase at all.
propionate_formation_propanediol	metabolic	(S)-propane-1,2-diol to propanoate	Encodes dehydration of propane-1,2-diol to propanal, its oxidation to propanoyl-CoA, and substrate-level phosphorylation to propanoate. A positive call means the genome encodes that route, not that propionate is produced or released.	catabolic	curated	1	No KEGG module covers this capability. 168 of 11856 KEGG organisms complete it and they are the propanediol utilisation operon of the Enterobacteriaceae: Salmonella (51), Klebsiella (46), Citrobacter (24), Yersinia (18) and Escherichia (9). The dehydratase is adenosylcobalamin-dependent; giftr models no cofactor availability, so the call does not assert that B12 is present.
propionate_formation_acrylate	metabolic	(R)-lactate to propanoate	Encodes the acrylate pathway: CoA transfer onto lactate, dehydration to acryloyl-CoA, and reduction to propanoyl-CoA, with propanoyl-CoA regenerated as the CoA donor so that lactate is the net substrate and propanoate the net product.	catabolic	curated	1	The most substrate-specific and least prevalent capability in this layer. All 13 KEGG organisms carrying propionate CoA-transferase with both lactoyl-CoA dehydratase subunits are characterised acrylate-pathway producers, among them Anaerotignum propionicum, Megasphaera elsdenii and Pseudocoprococcus catus, and no genome outside that group carries the set. The acryloyl-CoA reductase K20143 is assigned in only 4 of those 13, so most are reported incomplete with the reductase named as the missing reaction rather than having the step scored away; this follows the serine phosphatase precedent. The lcdC activator subunit has no orthology group and is not required.
lactate_formation	metabolic	Pyruvate to (S)-lactate	Encodes NAD-dependent reduction of pyruvate to (S)-lactate, the terminal disposal of reducing equivalents in homofermentative and mixed-acid fermentation. Unlike every other fermentation end product curated so far, the direction of this claim is evidenced rather than asserted: forming lactate is a cytoplasmic NADH-consuming reduction and consuming it feeds electrons to a quinone or a cytochrome, and KEGG assigns those to different orthology groups.	catabolic	curated	1	K00016 is present in 4143 of the 11855 KEGG organisms examined and the quinone-dependent lldD group K29125 in 3388, but only 573 carry both. Every lactic acid bacterium checked carries the forming group and not the consuming one, and Escherichia coli, Salmonella Typhimurium and Pseudomonas aeruginosa are the reverse. The quinone- and cytochrome-dependent groups K29125, K00101, K03777 and K00102 are deliberately not accepted as markers, because they evidence the opposite direction. D-lactate formation is not curated: K03778 is specific to the right chemistry but its leading genera are Pseudomonas, Streptomyces and Burkholderia, which run the reaction oxidatively, and the (R) anchor is reached through lactate_racemisation instead.
lactate_racemisation	metabolic	(S)-lactate and (R)-lactate interconversion	Encodes lactate racemase, which interconverts the two lactate enantiomers. A positive call means the genome can supply either enantiomer from the other. It does not mean the cell prefers a direction, and it cannot mean that: a racemase has no direction to prefer.	interconversion	curated	1	Declared interconversion rather than catabolic because a racemase is the purest instance of that mode: acetate_interconversion is reversible as a matter of physiology, LarA as a matter of definition. It resolves a defect the SCFA layer left behind. propionate_formation_acrylate consumes (R)-lactate and nothing produced it, and of the ten KEGG genomes behind that route eight carry K22373 while only two carry a D-lactate dehydrogenase, so the racemase is how those organisms actually reach the anchor.
malolactic_fermentation	metabolic	(S)-malate to (S)-lactate	Encodes malolactic enzyme, the direct decarboxylation of (S)-malate to (S)-lactate without a free pyruvate intermediate. This is the only capability in the database that takes a citric acid cycle metabolite as a boundary, and it takes it as an input.	catabolic	curated	1	K22212 is present in 337 organisms and the set is Streptococcus, Lacticaseibacillus, Enterococcus, Lactococcus, Limosilactobacillus, Lactiplantibacillus, Lactobacillus and Leuconostoc almost without exception. The step releases CO2 and is therefore irreversible, which is why malate may be a boundary here while fumarase and malate dehydrogenase license no malate-forming trait.
citrate_fermentation	metabolic	Citrate to pyruvate and acetate	Encodes fermentative cleavage of citrate: the holo-citrate lyase complex splits citrate to oxaloacetate and acetate, and oxaloacetate is decarboxylated to pyruvate. A positive call means the genome encodes the chemistry, not that it expresses it; the classic aerobic citrate-utilisation phenotype is a transport and regulation phenotype that giftr does not model.	catabolic	curated	1	The lyase with its activating ligase is complete in 912 of 11855 organisms and adding an oxaloacetate decarboxylase gives 369, led by Salmonella, Streptococcus, Klebsiella, Lacticaseibacillus and Enterococcus. Bacillus subtilis, Bacteroides thetaiotaomicron and Pseudomonas aeruginosa are negative. Oxaloacetate is an internal intermediate and is deliberately not an anchor. The citrate transporter is not required evidence: Escherichia coli K-12 carries CitT and is aerobically Cit-negative because the gene is not expressed under oxygen, so requiring it would look like a phenotype claim without being one.
ethanol_formation	metabolic	Acetyl-CoA to ethanol	Encodes the bifunctional acetaldehyde/alcohol dehydrogenase route from acetyl-CoA to ethanol, in which one protein carries both reductions. A positive call means the genome encodes that chemistry; AdhE is reversible and is used in the ethanol-oxidising direction by some genomes, and no marker distinguishes the two.	catabolic	curated	1	K04072 is present in 2519 organisms, led by Streptococcus, Vibrio, Bacillus, Escherichia, Clostridium and Bifidobacterium. The route deliberately does not cover Zymomonas mobilis or Saccharomyces cerevisiae, which decarboxylate pyruvate through K01568 with a separate alcohol dehydrogenase; that route is complete in 258 organisms, is fungus-dominated, and its bacterial tail is Acetobacter and Gluconobacter, which oxidise ethanol rather than form it. It is left for a later pass rather than curated as an equal alternative.
acetoin_formation	metabolic	Pyruvate to (R)-acetoin	Encodes condensation of two pyruvate to (2S)-2-acetolactate and its decarboxylation to (R)-acetoin, the neutral fermentation route that the Voges-Proskauer test detects. The trait rests on the decarboxylase, which has no other role.	catabolic	curated	1	K01575 is present in 1649 organisms, led by Streptococcus, Bacillus, Corynebacterium, Staphylococcus, Klebsiella, Enterobacter, Listeria, Enterococcus and Lactococcus. The synthase step is curated but not required, because its orthology group K01652 is the anabolic branched-chain amino acid synthase ilvB/ilvG/ilvI and carries no acetoin-specific information; requiring it changes the call in 50 of 1649 genomes and imports a marker that means something else. Butane-2,3-diol is one step further and is not curated.
riboflavin_biosynthesis	metabolic	GTP and D-ribulose 5-phosphate to riboflavin	Encodes de novo synthesis of riboflavin (vitamin B2) from GTP and D-ribulose 5-phosphate: ring opening and reduction of the GTP-derived pyrimidinedione, condensation with the four-carbon unit to give dimethylribityllumazine, and dismutation to riboflavin. A positive call means the genome encodes that route. It does not mean riboflavin is exported or available to anything else.	anabolic	curated	1	Boundary ends at riboflavin. The flavin kinase and FMN adenylyltransferase that make FMN and FAD are shared housekeeping, complete in every reference genome including those that cannot make riboflavin, and are deliberately not curated.
paba_biosynthesis	metabolic	Chorismate to 4-aminobenzoate	Encodes synthesis of 4-aminobenzoate from chorismate through 4-amino-4-deoxychorismate. A positive call means the genome can make the aromatic half of folate for itself; a negative one identifies a genome that must acquire 4-aminobenzoate, which is a documented dependency of several gut lineages.	anabolic	curated	1	Cut from folate biosynthesis because the two halves are separately lost: 4099 KEGG bacteria complete both branches, 1799 only the pterin branch and 989 only this one.
folate_biosynthesis	metabolic	GTP and 4-aminobenzoate to tetrahydrofolate	Encodes de novo synthesis of tetrahydrofolate (vitamin B9) from GTP and 4-aminobenzoate: pterin ring formation, coupling to 4-aminobenzoate, glutamylation and reduction. A positive call means the genome encodes that route; it says nothing about how much folate is made or whether any leaves the cell.	anabolic	curated	1	Two dephosphorylation steps between the pterin triphosphate and dihydroneopterin are not gating. The pyrophosphatase is curated as not required because its orthology is Proteobacteria-biased; the residual monophosphatase step is not curated at all, because the only marker offered for it is a generic alkaline phosphatase that would fire in every genome.
hmp_phosphate_biosynthesis	metabolic	AIR to the thiamine pyrimidine	Encodes de novo synthesis of the thiamine pyrimidine moiety: radical SAM rearrangement of the purine intermediate AIR into hydroxymethylpyrimidine phosphate, and its phosphorylation to the diphosphate that thiamine phosphate synthase requires.	anabolic	curated	1	AIR is declared as an input anchor only. Purine core biosynthesis does not declare it as an output, so no composition edge is created from an internal purine intermediate.
thiazole_phosphate_biosynthesis	metabolic	DXP to the thiamine thiazole	Encodes de novo synthesis of the thiamine thiazole moiety from 1-deoxy-D-xylulose 5-phosphate and an imine donor. A positive call means the genome encodes thiazole synthase together with an enzyme that supplies 2-iminoacetate.	anabolic	curated	1	ThiS and ThiF are not required components. ThiF is homologous to MoeB and ThiI also serves tRNA thiolation, so neither marker adds thiamine specificity, while requiring them would reduce the trait from 5396 to 1554 bacterial genomes.
thiamine_phosphate_biosynthesis	metabolic	Thiamine pyrimidine and thiazole to thiamine phosphate	Encodes condensation of the two thiamine moieties into thiamine phosphate (vitamin B1). A positive call means the genome encodes thiamine phosphate synthase; combined with the two branch GIFTs it means de novo thiamine synthesis, and combined with the salvage GIFT it means the genome can build thiamine from acquired precursors.	anabolic	curated	1	The boundary stops at thiamine phosphate rather than the diphosphate. ThiL is absent from the KEGG annotation of ten of eighteen reference genomes that certainly make TPP, so requiring it would turn an annotation gap into an auxotrophy call.
thiamine_precursor_salvage	metabolic	Thiamine precursor salvage to the activated moieties	Encodes phosphorylation of the free thiamine pyrimidine and thiazole acquired from the environment, giving the same two activated moieties that de novo synthesis produces. A positive call identifies a genome that can build thiamine from precursors made by something else.	anabolic	curated	1	Curated as a separate capability that composes with thiamine phosphate biosynthesis through the HMP_PP and THZ_P anchors, so that ThiE is curated once rather than duplicated into a salvage route.
pantothenate_biosynthesis	metabolic	2-oxoisovalerate and L-aspartate to pantothenate	Encodes de novo synthesis of pantothenate (vitamin B5): hydroxymethylation and reduction of the branched-chain 2-oxo acid to pantoate, decarboxylation of L-aspartate to beta-alanine, and their ligation. A positive call means the genome encodes that route.	anabolic	curated	1	The boundary stops at pantothenate. The five steps that convert it to coenzyme A are shared housekeeping and are not curated. KEGG M00119 defines completeness without PanC or PanD and therefore never reaches pantothenate.
